Accession,P0_observed,Total_UTRs_0,P0_Expected_freq,P0_Observed_freq,P0_Standard_Deviation,P0_Zscore,P0__BinomPval,P1_observed,P1_Total_UTRs,P1_Expected_freq,P1_Observed_freq,P1_Standard_Deviation,P1_Zscore,P1__BinomPval,P2_observed,P2_Total_UTRs,P2_Expected_freq,P2_Observed_freq,P2_Standard_Deviation,P2_Zscore,P2__BinomPval,P3_observed,P3_Total_UTRs,P3_Expected_freq,P3_Observed_freq,P3_Standard_Deviation,P3_Zscore,P3__BinomPval,P4_observed,P4_Total_UTRs,P4_Expected_freq,P4_Observed_freq,P4_Standard_Deviation,P4_Zscore,P4__BinomPval,P5_observed,P5_Total_UTRs,P5_Expected_freq,P5_Observed_freq,P5_Standard_Deviation,P5_Zscore,P5__BinomPval,P6_observed,P6_Total_UTRs,P6_Expected_freq,P6_Observed_freq,P6_Standard_Deviation,P6_Zscore,P6__BinomPval,Genomic_GC,Genomic_GC3
CP007034,1437,1437,0.063,1.0,24.296296014001808,55.41869424146125,0.0,66,1437,0.0651,0.04592901878914405,24.6702229418382,-1.1166781939890864,0.999165456193572,54,1437,0.0683,0.037578288100208766,25.22600047569967,-1.7500633936214784,0.9999997975122223,66,1437,0.0638,0.04592901878914405,24.439631748453166,-1.0507768801232193,0.9984248366773542,73,1437,0.0694,0.05080027835768963,25.413311472533444,-1.051724409425637,0.998389937029938,74,1437,0.0635,0.05149617258176757,24.38601033379589,-0.7073522796016533,0.9754125548263222,81,1437,0.0653,0.05636743215031315,24.70544676786882,-0.5195655889410693,0.9252750787967667,51.66991890423211,64.89434077805666
CP000388,2812,2812,0.0736,1.0,26.111882352676147,99.76442007571374,0.0,170,2812,0.0718,0.060455192034139404,25.815646418402928,-1.2357467050392603,0.9922161087836888,148,2812,0.0767,0.05263157894736842,26.611484362958787,-2.543277897500754,0.9999998234721835,180,2812,0.0711,0.06401137980085349,25.69918092079979,-0.775635615058336,0.9349019200874202,198,2812,0.0697,0.07041251778093884,25.464074693575654,0.07868340099180966,0.4515154303170126,216,2812,0.075,0.07681365576102418,26.339134382131846,0.19362823113350958,0.3675464778060279,179,2812,0.0746,0.06365576102418208,26.27448191687136,-1.1712961685550365,0.9889614233857775,44.61609348747495,43.713301961934846
CP003630,4776,4776,0.0667,1.0,24.95017234409414,178.65370781918082,0.0,190,4776,0.0696,0.039782244556113906,25.44716880126353,-5.596284644165558,0.9999999999999999,299,4776,0.0676,0.06260469011725293,25.105824025512486,-0.9502814954711682,0.921077710896748,287,4776,0.0681,0.06009212730318258,25.19174269477997,-1.518180003002528,0.9880965432341402,251,4776,0.0713,0.052554438860971525,25.732529996096382,-3.4792070586755943,0.9999999379221641,295,4776,0.0708,0.06176716917922948,25.649046765913155,-1.6819650411855809,0.9938867852899603,258,4776,0.0695,0.05402010050251256,25.43024773768435,-2.907246549959571,0.9999943101970274,46.2148157756402,44.79423404576558
CP009621,3117,3117,0.0801,1.0,27.14479508119374,105.63086924854045,0.0,161,3117,0.0756,0.05165222970805262,26.435703130425715,-2.8236510158902637,0.9999999608551686,241,3117,0.0776,0.07731793391081168,26.754109964639078,-0.03286224064870917,0.53306387946935,174,3117,0.0852,0.05582290664100096,27.917908231097833,-3.2799162187230673,0.9999999998127423,189,3117,0.0875,0.06063522617901829,28.256636388643287,-2.9634631259103137,0.9999999903912978,199,3117,0.0847,0.06384343920436317,27.843474998641963,-2.3348342835501246,0.9999941347754673,232,3117,0.0817,0.07443054218800128,27.3907119294114,-0.8272475742286012,0.9366062289970248,47.34426512808975,51.92752259368553
CP007445,1819,1819,0.0961,1.0,29.47283325369314,55.78676762587701,0.0,202,1819,0.1005,0.11105002748763057,30.0665511823355,0.6382674182888878,0.07400716303443935,167,1819,0.0944,0.09180868609125893,29.238440450885886,-0.16121242882012776,0.6587625732749609,164,1819,0.0989,0.09015942825728422,29.852770390702435,-0.532583736514844,0.9024149534835028,202,1819,0.098,0.11105002748763057,29.731464814233423,0.7984134030502206,0.03520451448881158,174,1819,0.0937,0.09565695437053326,29.14108954723553,0.12215397760711673,0.39882423607424244,173,1819,0.096,0.09510720175920835,29.45912422323515,-0.05512723282924703,0.5630101823174922,33.61728247200431,23.01745556987857
CP001997,816,816,0.0818,1.0,27.405977450184114,27.33897017035481,0.0,67,816,0.0807,0.0821078431372549,27.23738423564201,0.042177324740924414,0.4596857578436091,50,816,0.0796,0.061274509803921566,27.0672939171983,-0.5524601035384122,0.9803221476054803,46,816,0.0782,0.056372549019607844,26.848605177923115,-0.6633938665329876,0.9935728734781605,50,816,0.078,0.061274509803921566,26.817158686184488,-0.5089278905237303,0.971086413254159,52,816,0.0753,0.06372549019607843,26.387479985781138,-0.35792732027042096,0.9090668289931398,39,816,0.0758,0.04779411764705882,26.467784191352326,-0.8634194624976038,0.9994872666167348,45.30685774758254,42.19687256774173
BA000028,2235,2235,0.0902,1.0,28.646807850090383,70.98183541568959,0.0,239,2235,0.0938,0.10693512304250559,29.15502701079181,1.0069275528070487,0.019579762647631876,211,2235,0.0913,0.09440715883668904,28.803525825842918,0.24109895580107335,0.31525788494491197,186,2235,0.0947,0.08322147651006712,29.280011953549472,-0.8761779209892038,0.972334138392398,160,2235,0.095,0.07158836689038031,29.3214938227915,-1.7845270884298514,0.999962459764413,164,2235,0.0926,0.07337807606263982,28.987107479015563,-1.4820726776930218,0.9994640685608046,166,2235,0.088,0.07427293064876958,28.329489935401238,-1.0829704336350046,0.9912776924448998,35.681311368484145,25.853265043173003
CP002026,2365,2365,0.0253,1.0,15.703474137909739,146.79334520219973,0.0,25,2365,0.0269,0.010570824524312896,16.17911925909442,-2.3869346273773346,0.999999991789423,26,2365,0.0248,0.010993657505285413,15.551514395710791,-2.0996025961951097,0.9999995337929825,27,2365,0.028,0.011416490486257928,16.497272501841024,-2.3773626819598945,0.9999999891087028,35,2365,0.0233,0.014799154334038054,15.08545988692423,-1.3327071332724947,0.9986055290500708,52,2365,0.0261,0.021987315010570826,15.943271307984443,-0.6100692770077204,0.9092353023063728,33,2365,0.025,0.013953488372093023,15.612494995995995,-1.6733392072631605,0.9999293034439044,67.88473004222645,88.27897265025898
CP003058,1345,1345,0.0648,1.0,24.617262236081412,51.0960149807554,0.0,71,1345,0.0674,0.05278810408921933,25.07134619441086,-0.783882917478968,0.9880530736784967,54,1345,0.0627,0.04014869888475837,24.24225855814594,-1.2511829261802814,0.9998860858480721,73,1345,0.0614,0.05427509293680297,24.006257517572372,-0.39918758652760955,0.8751767401372046,74,1345,0.0644,0.0550185873605948,24.546413179933232,-0.5140465903309754,0.9301883944807023,50,1345,0.0608,0.03717472118959108,23.89630933847317,-1.329745089499678,0.9999593149596994,69,1345,0.0664,0.051301115241635685,24.897999919672262,-0.8156478458317598,0.9907066691090325,50.020600820415105,54.62587252011619
FP929047,1517,1517,0.036,1.0,18.629009635512027,78.50057671408818,0.0,22,1517,0.0332,0.014502307185234015,17.915847733222115,-1.5832016671699378,0.9999981862941166,18,1517,0.0339,0.011865524060646011,18.097179338228376,-1.847044745221178,0.9999999842605075,16,1517,0.0357,0.01054713249835201,18.55411275162464,-2.056519786787374,0.9999999998105352,22,1517,0.0307,0.014502307185234015,17.250365213525193,-1.4244278133157633,0.999982387809679,21,1517,0.0339,0.013843111404087014,18.097179338228376,-1.6812730553941995,0.9999996357142923,22,1517,0.0328,0.014502307185234015,17.81127732645809,-1.5584283760922057,0.9999973684769373,60.42643309824608,87.4344736461488
CP010848,1170,1170,0.032,1.0,17.6,64.35,0.0,30,1170,0.0334,0.02564102564102564,17.967871326342472,-0.5052351408311152,0.9452639768958323,18,1170,0.0332,0.015384615384615385,17.915847733222115,-1.1634392248907144,0.999944970536241,27,1170,0.035,0.023076923076923078,18.37797594948911,-0.7590607386983658,0.9923784467789231,28,1170,0.0357,0.023931623931623933,18.55411275162464,-0.7420996187917615,0.9910418795872401,28,1170,0.0325,0.023931623931623933,17.732385626305334,-0.5653497623652107,0.9637544564314674,26,1170,0.0364,0.022222222222222223,18.728331479338998,-0.8857169160157059,0.9978169760393909,61.482170590579855,69.55944402868448
CP003313,1372,1372,0.0731,1.0,26.03005762575258,48.85532019498295,0.0,70,1372,0.0782,0.05102040816326531,26.848605177923115,-1.3889138654645232,0.9999717958094783,85,1372,0.0795,0.0619533527696793,27.05175595039997,-0.8899237463231682,0.9943162209144631,86,1372,0.0779,0.06268221574344024,26.80141600736797,-0.7790185411942494,0.9864741887888717,84,1372,0.0743,0.061224489795918366,26.225847936720747,-0.6840427063897314,0.973820862743729,89,1372,0.0704,0.06486880466472303,25.581993667421624,-0.2966461527063958,0.802245706291006,106,1372,0.0714,0.07725947521865889,25.749182511295384,0.31221185357917447,0.21296308778830825,40.22145367323032,33.91593885172638
CP003788,3688,3688,0.0211,1.0,14.371774420717854,251.19954532515376,0.0,27,3688,0.0213,0.007321041214750542,14.438251279154272,-3.5706817261473667,0.9999999999963946,36,3688,0.0216,0.009761388286334056,14.537345012071496,-3.0033544614745695,0.9999999886262702,49,3688,0.021,0.013286334056399132,14.338409953687334,-1.9840414726518671,0.9998056982985597,39,3688,0.021,0.010574837310195227,14.338409953687334,-2.6814688744558133,0.9999995862912743,36,3688,0.0228,0.009761388286334056,14.926540121541896,-3.2215369140100982,0.9999999991790263,46,3688,0.0202,0.012472885032537961,14.068390099794646,-2.025647554400412,0.9998608573274574,69.64986386435099,87.39891311646862
CP001713,545,545,0.0824,1.0,27.49731623267987,18.18693852768268,0.0,30,545,0.0793,0.05504587155963303,27.020642109320793,-0.4892000695808878,0.988498459541041,32,545,0.0773,0.05871559633027523,26.706686428682982,-0.3792495945555412,0.960344191086365,25,545,0.08,0.045871559633027525,27.129319932501073,-0.6856050961202718,0.9994080077144809,30,545,0.0788,0.05504587155963303,26.942635357366214,-0.4805023646827672,0.987203896685909,40,545,0.0753,0.07339449541284404,26.387479985781138,-0.03935578541640205,0.5901678446144052,28,545,0.0826,0.05137614678899083,27.527666083415063,-0.6181780884886732,0.9981188124946128,40.54987026800535,34.86316746624007
CP003947,2792,2792,0.0829,1.0,27.57310102255457,92.86380947523809,0.0,217,2792,0.0846,0.07772206303724928,27.828553681425845,-0.6900538281591382,0.9111554387159208,231,2792,0.0868,0.08273638968481375,28.154175534012712,-0.4029810777550044,0.7860826189383865,211,2792,0.0848,0.0755730659025788,27.858384734223197,-0.9247341597789275,0.9645304089752408,219,2792,0.0884,0.07843839541547278,28.387574746709166,-0.9797525941600281,0.9720921026754855,193,2792,0.091,0.06912607449856734,28.76091097305508,-2.123437607981745,0.9999870701598418,239,2792,0.0888,0.08560171919770773,28.44548470320026,-0.31391976945273836,0.7329701303308076,34.95832258776466,25.964975607312162
CP003349,2978,2978,0.0841,1.0,27.753772716515495,98.27673620663872,0.0,287,2978,0.0817,0.09637340496977838,27.3907119294114,1.5953364086560649,0.0023531577420774774,252,2978,0.0849,0.08462055070517126,27.87328290675499,-0.02985654767628106,0.5313014547693268,227,2978,0.0854,0.07622565480188045,27.947600970387423,-0.9775865924573942,0.9675952399399151,218,2978,0.0827,0.07320349227669577,27.542823021614907,-1.0267865417356128,0.9738761171817607,224,2978,0.0874,0.07521826729348556,28.242032504761408,-1.284510949907161,0.9924763307036708,248,2978,0.0933,0.08327736736064473,29.085238524034835,-1.0262044086499527,0.9735683527237832,37.308540121247916,31.80086765244495
CP001712,1786,1786,0.0506,1.0,21.917946984149772,77.36255595591203,0.0,52,1786,0.0504,0.029115341545352745,21.876891918186185,-1.7376508574510419,0.9999965521645806,47,1786,0.0495,0.02631578947368421,21.690954335851615,-1.9089524305328043,0.9999996988527269,60,1786,0.054,0.0335946248600224,22.601769842204835,-1.6124400989141672,0.9999820264906294,50,1786,0.0484,0.027995520716685332,21.46099718093267,-1.6980758020124882,0.9999944957115344,61,1786,0.0529,0.0341545352743561,22.383384462587422,-1.4957255483842913,0.9999325470278223,73,1786,0.046,0.040873460246360585,20.948508300115307,-0.4370716935462939,0.8631532341813151,55.29329254078098,68.05023421839718
CP000859,1957,1957,0.0483,1.0,21.43994169768192,86.86949462187066,0.0,74,1957,0.0454,0.03781297904956566,20.817982611194584,-0.7132199251629602,0.9553276135115822,67,1957,0.0472,0.0342360756259581,21.20664046943787,-1.1963422512190356,0.998012321456404,65,1957,0.0473,0.03321410321921308,21.227979178433355,-1.2985739136208447,0.9991473572243539,50,1957,0.0481,0.025549310168625446,21.397754555092924,-2.062445378853835,0.9999998690222254,65,1957,0.0473,0.03321410321921308,21.227979178433355,-1.2985739136208447,0.9991473572243539,61,1957,0.0492,0.031170158405723045,21.628536705010813,-1.6313817472369945,0.9999664729602112,56.168615578397166,68.50587537173752
CP002048,1288,1288,0.0642,1.0,24.510887376837253,49.174490562876,0.0,53,1288,0.0624,0.04114906832298137,24.188063171738246,-1.1315994920991024,0.9996600618164122,78,1288,0.0604,0.06055900621118013,23.822644689454613,0.008596862467190677,0.506928946185617,57,1288,0.0627,0.04425465838509317,24.24225855814594,-0.9800076978395614,0.9982528881252473,74,1288,0.0604,0.05745341614906832,23.822644689454613,-0.15931060759513407,0.6877422589038693,66,1288,0.0631,0.05124223602484472,24.314273585694473,-0.6281413239088457,0.9678230904187373,72,1288,0.0626,0.055900621118012424,24.22421102946389,-0.35620561551023455,0.8536685573306988,50.989395811950565,57.152346970982165
HG938353,2412,2412,0.0404,1.0,19.689550528135477,117.55246503431377,0.0,54,2412,0.038,0.022388059701492536,19.119623427254,-1.9694948565944754,0.9999940327004202,66,2412,0.0382,0.02736318407960199,19.167879381924333,-1.3636563272956,0.9984736135892642,78,2412,0.0376,0.03233830845771144,19.022681199031855,-0.6671614725187067,0.9236501143305516,64,2412,0.0354,0.026533996683250415,18.478863601423114,-1.1572573109069915,0.9938810763828191,68,2412,0.0374,0.028192371475953566,18.973992726888035,-1.1704863767828861,0.9942958662306629,50,2412,0.0396,0.020729684908789386,19.501753767289753,-2.3339029167901066,0.9999999282860957,61.48098887211212,77.01995813690445
CP001896,1455,1455,0.0313,1.0,17.41272810331569,80.94415140678699,0.0,21,1455,0.03,0.01443298969072165,17.05872210923198,-1.3277665146876438,0.9999582055257683,34,1455,0.0301,0.02336769759450172,17.086248856902444,-0.5732972802888122,0.9475159667203841,26,1455,0.0287,0.017869415807560136,16.69620016650495,-0.9438375105021729,0.9967422976344821,36,1455,0.0275,0.024742268041237112,16.35351644142629,-0.24536007374142757,0.7615839434646288,37,1455,0.0304,0.02542955326460481,17.168529348782325,-0.42123584688474947,0.8833511729367434,34,1455,0.0299,0.02336769759450172,17.03114499967633,-0.5580658258843213,0.9427446209072026,64.37262380054115,79.69600379969924
CP003264,570,570,0.0868,1.0,28.154175534012712,18.488341076483003,0.0,29,570,0.0877,0.05087719298245614,28.285810930570825,-0.7420328182041067,0.9996824816907426,47,570,0.0878,0.0824561403508772,28.30038162286862,-0.10763105743912038,0.6949398053403164,41,570,0.0852,0.07192982456140351,27.917908231097833,-0.27093720408373717,0.8889632236793052,45,570,0.0873,0.07894736842105263,28.22741752268528,-0.16866580147382496,0.7801687636228296,36,570,0.0899,0.06315789473684211,28.60384414724706,-0.5329004004333117,0.9919616571799775,44,570,0.083,0.07719298245614035,27.58822212466762,-0.1199787353111244,0.7137055988225687,37.3414012746208,27.188392323273806
HE983995,590,590,0.0884,1.0,28.387574746709166,18.946458258550237,0.0,41,590,0.0873,0.06949152542372881,28.22741752268528,-0.37222675406122213,0.9496399159532433,33,590,0.0916,0.05593220338983051,28.846046522877273,-0.7295280475718012,0.9994772423561575,44,590,0.087,0.07457627118644068,28.183505814571756,-0.260081199557869,0.8751605338552626,37,590,0.0866,0.06271186440677966,28.124800443736486,-0.5011235556389093,0.9867987635840618,40,590,0.0831,0.06779661016949153,27.603331320693883,-0.3270982003984086,0.9258151371931399,46,590,0.084,0.07796610169491526,27.738781516137294,-0.12834017232980977,0.7221810126492836,36.62270467687937,29.694378249161563
CP001814,5805,5805,0.0245,1.0,15.459543977750444,366.29654200343396,0.0,44,5805,0.0225,0.007579672695951766,14.830289949963891,-5.8402431976868305,0.9999999999999999,61,5805,0.018,0.010508182601205857,13.295111883696203,-3.271127041309956,0.9999986616095218,59,5805,0.0219,0.010163652024117141,14.635706337584121,-4.6550196094769385,0.9999999999965409,73,5805,0.0203,0.012575366063738156,14.10245014173069,-3.179695694672878,0.9999969603922061,72,5805,0.0211,0.012403100775193798,14.371774420717854,-3.512823018375647,0.9999997534368832,92,5805,0.0228,0.015848406546080964,14.926540121541896,-2.703506617837134,0.9999235334043561,70.86660360569266,91.04996317509303
CP007035,2667,2667,0.0738,1.0,26.144513764841754,94.48159649164359,0.0,206,2667,0.0715,0.0772403449568804,25.765820382824995,0.5941786355929515,0.13335261784125596,141,2667,0.075,0.052868391451068614,26.339134382131846,-2.2409620279716504,0.9999978355960835,164,2667,0.0688,0.0614923134608174,25.31137293787123,-0.7699937908480414,0.9388245254334525,155,2667,0.0681,0.05811773528308961,25.19174269477997,-1.0568026326148736,0.9831987761269898,162,2667,0.0714,0.06074240719910011,25.749182511295384,-1.1038719379743938,0.986737560552353,128,2667,0.078,0.047994000749906264,26.817158686184488,-2.9841341857453134,0.9999999997513596,45.23746722349209,48.22710674914191
CR767821,687,687,0.0948,1.0,29.293849183745042,21.22877045277726,0.0,67,687,0.1029,0.0975254730713246,30.382822449535528,-0.12152590517660904,0.6964775089071982,66,687,0.0977,0.09606986899563319,29.690858862619653,-0.037718679853008176,0.5759549488543917,57,687,0.0974,0.08296943231441048,29.65016694725343,-0.33435899425579235,0.9123512293063123,72,687,0.0998,0.10480349344978165,29.973314798333533,0.11468201041918495,0.34885101460193146,56,687,0.1028,0.08151382823871907,30.369748105639598,-0.48151864642184583,0.9743401097526293,56,687,0.1021,0.08151382823871907,30.277977145113244,-0.4670952729840002,0.9706375990520532,27.478789597422765,18.674138485802537
CP001397,2084,2084,0.0876,1.0,28.27122919152968,67.25712515427838,0.0,175,2084,0.0885,0.08397312859884837,28.40206858663643,-0.3321589049481708,0.7769170594463707,165,2084,0.0885,0.07917466410748561,28.40206858663643,-0.6842459358451083,0.9397694578311702,163,2084,0.0884,0.07821497120921306,28.387574746709166,-0.7477074103507414,0.9551490330996485,162,2084,0.0862,0.07773512476007678,28.065915271018685,-0.6285488939039219,0.923275663691101,177,2084,0.0905,0.08493282149712092,28.68967584341099,-0.40439634324640084,0.8218935131813216,169,2084,0.0904,0.08109404990403071,28.67539712017952,-0.676314958036005,0.9375179333176081,35.31529911368425,27.75319641027493
CP002690,639,639,0.1017,1.0,30.225338707779603,18.991142019932315,0.0,31,639,0.0961,0.048513302034428794,29.47283325369314,-1.0317263948890865,0.9999971178680299,64,639,0.0922,0.10015649452269171,28.930807109377366,0.17573654204593725,0.2617042009774659,65,639,0.0989,0.10172143974960876,29.852770390702435,0.06039305486238923,0.42473034376854496,51,639,0.0999,0.07981220657276995,29.98666203497815,-0.42806031511700915,0.9641399729294627,62,639,0.0964,0.09702660406885759,29.513901809147498,0.013566488178662241,0.49811584123772873,41,639,0.0963,0.06416275430359937,29.500222033062734,-0.696120184349269,0.9985167629825519,33.86623061671051,27.104277667312875
AP014633,2647,2647,0.0798,1.0,27.098332051991687,89.88632198198246,0.0,197,2647,0.0767,0.07442387608613525,26.611484362958787,-0.2264022524194936,0.6803099047995906,202,2647,0.0729,0.07631280695126558,25.997228698459384,0.34748703812938825,0.2596822099541031,231,2647,0.0769,0.08726860596902153,26.643271195557052,1.030117503160677,0.026304674587487715,179,2647,0.0782,0.06762372497166604,26.848605177923115,-1.042713385461822,0.9820688885248607,190,2647,0.0757,0.07177937287495277,26.451750414670105,-0.3923332043177166,0.7868653539963025,217,2647,0.0756,0.0819795995466566,26.435703130425715,0.6387876243232745,0.11497597882231503,41.21047691218616,34.72579659348268
