Accession,P1_observed,P1_Total_UTRs,P1_Expected_freq,P1_Observed_freq,P1_Standard_Deviation,P1_Zscore,P1__BinomPval,P2_observed,P2_Total_UTRs,P2_Expected_freq,P2_Observed_freq,P2_Standard_Deviation,P2_Zscore,P2__BinomPval,P3_observed,P3_Total_UTRs,P3_Expected_freq,P3_Observed_freq,P3_Standard_Deviation,P3_Zscore,P3__BinomPval,P4_observed,P4_Total_UTRs,P4_Expected_freq,P4_Observed_freq,P4_Standard_Deviation,P4_Zscore,P4__BinomPval,P5_observed,P5_Total_UTRs,P5_Expected_freq,P5_Observed_freq,P5_Standard_Deviation,P5_Zscore,P5__BinomPval,P6_observed,P6_Total_UTRs,P6_Expected_freq,P6_Observed_freq,P6_Standard_Deviation,P6_Zscore,P6__BinomPval,Genomic_GC,Genomic_GC3
U00096,54,369,0.2039,0.14634146341463414,40.289550754507054,-0.5271614997500077,0.005378579126811085,10,369,0.0557,0.02710027100271003,22.93414703013827,-0.46015663831454795,0.012275185932647002,10,369,0.0537,0.02710027100271003,22.542473244965826,-0.43541362535239775,0.02028832096197361,10,369,0.058,0.02710027100271003,23.374344910606585,-0.4877997669498798,0.007341836943818195,17,369,0.0547,0.04607046070460705,22.73937334228892,-0.14003464176728592,0.5662101840511871,27,369,0.0571,0.07317073170731707,23.20335967053047,0.25557074855550116,0.17800743684623357,50.79070985933456,53.7633008577989
AE017354,5,40,0.2366,0.125,42.49946352602583,-0.10503661998618724,0.1342519757105001,3,40,0.0863,0.075,28.080653482424513,-0.016096491496642114,0.9999999999999991,6,40,0.0825,0.15,27.5124971603815,0.09813722048786067,0.14008994698517446,4,40,0.0832,0.1,27.61842863017373,0.02433157979400123,0.5723240812702441,4,40,0.0862,0.1,28.065915271018685,0.019667984979987597,0.774694688762814,0,40,0.0823,0.0,27.482123280416307,-0.11978695992335756,0.0751056316599586,38.26951568595019,32.75505943755892
AE017285,2,40,0.1814,0.05,38.534924419284906,-0.13639575214450456,0.03690283981521471,1,40,0.0328,0.025,17.81127732645809,-0.017516991863157052,0.9999999999999988,0,40,0.0332,0.0,17.915847733222115,-0.07412431830046386,0.6441007254798155,4,40,0.0335,0.1,17.9938183829892,0.14782854552509445,0.04421621386255299,0,40,0.0342,0.0,18.174256518493404,-0.07527130469452643,0.6478830439147102,2,40,0.0363,0.05,18.70355848495147,0.02929923738527674,0.6566799898158225,63.14261166363938,74.76735786710447
AP012205,8,94,0.1976,0.0851063829787234,39.81886989857949,-0.26556253421891396,0.00413400378518661,2,94,0.0638,0.02127659574468085,24.439631748453166,-0.16355401919069384,0.1333244207914222,3,94,0.0612,0.031914893617021274,23.969680848939145,-0.114845083559877,0.38344852215062364,5,94,0.0607,0.05319148936170213,23.877920763751607,-0.029558687583529253,1.0,7,94,0.0576,0.07446808510638298,23.298549311062267,0.06805573938662136,0.5009776077254379,1,94,0.0587,0.010638297872340425,23.506235342989314,-0.19219581247608944,0.045241712443583916,47.73037910135888,49.90495534861084
BX897699,17,75,0.2339,0.22666666666666666,42.33093313405694,-0.012815687248895945,1.0,6,75,0.0875,0.08,28.256636388643287,-0.0199068279841714,0.9999999999999989,3,75,0.0882,0.04,28.358554264983255,-0.12747476356591816,0.21640045972998462,5,75,0.0829,0.06666666666666667,27.57310102255457,-0.044155352675206726,0.8332555978140741,8,75,0.0867,0.10666666666666667,28.139493598854973,0.053217020226012005,0.5349188643501537,4,75,0.0808,0.05333333333333334,27.252772336039502,-0.07558864010601309,0.5243468018920165,38.23034861399023,28.890098869255546
AE015928,12,65,0.3188,0.18461538461538463,46.601133033436,-0.18716283129300787,0.0228237587961429,1,65,0.0991,0.015384615384615385,29.87962349160377,-0.1821140752168136,0.019739791344268776,2,65,0.1024,0.03076923076923077,30.317361362757147,-0.1535753703724225,0.06271033567573678,6,65,0.0972,0.09230769230769231,29.62299107112582,-0.010734905169990115,1.0,3,65,0.0986,0.046153846153846156,29.812420230501246,-0.1143483143482673,0.2095446345544587,2,65,0.0989,0.03076923076923077,29.852770390702435,-0.14834469103005746,0.09123628007019012,42.83717823940185,44.58875565762742
AE000511,9,55,0.2316,0.16363636363636364,42.185476173678545,-0.08860869519667315,0.266020716368349,7,55,0.0745,0.12727272727272726,26.25828440702096,0.11053654362978593,0.18970525556441692,7,55,0.0762,0.12727272727272726,26.531784711926186,0.10587301346288021,0.19400556357720578,1,55,0.0724,0.01818181818181818,25.9149069070294,-0.1150689065061289,0.1857125195349088,5,55,0.0785,0.09090909090909091,26.895678091470383,0.02537582423759177,0.6189327888046835,5,55,0.0824,0.09090909090909091,27.49731623267987,0.017019842810833796,0.8041800581867409,38.873183533219375,40.89859641519995
AE016823,15,97,0.2149,0.15463917525773196,41.07529549498092,-0.14230694945856814,0.17365171332630347,9,97,0.0773,0.09278350515463918,26.706686428682982,0.05623685304467275,0.5655412375991768,6,97,0.0749,0.061855670103092786,26.3229918512315,-0.04806824418557892,0.846138462500679,8,97,0.0793,0.08247422680412371,27.020642109320793,0.011394991975182917,0.8506100944019364,6,97,0.0785,0.061855670103092786,26.895678091470383,-0.06002823184116029,0.7053300529418078,8,97,0.0801,0.08247422680412371,27.14479508119374,0.008484131094419442,0.8517961902701696,35.049524395133716,29.64888454398507
AP009552,37,317,0.2352,0.1167192429022082,42.412375552425736,-0.8855528489219905,1.2963894695369984e-07,17,317,0.0717,0.05362776025236593,25.799052308175973,-0.2220585443049183,0.2321652915009197,14,317,0.0752,0.04416403785488959,26.37137842434483,-0.3730711319556071,0.032946353528643724,20,317,0.0694,0.06309148264984227,25.413311472533444,-0.07869104355649882,0.7406128363453715,17,317,0.069,0.05362776025236593,25.345413786324343,-0.1922635803495673,0.319022982210741,22,317,0.0674,0.0694006309148265,25.07134619441086,0.02529580960999141,0.8230738723432971,42.33063114485447,39.50931745666048
CP001219,4,35,0.1747,0.11428571428571428,37.971029746373745,-0.05568719136994001,0.5029663909594425,0,35,0.0423,0.0,20.12727254249815,-0.07355691124438084,0.4037028112159855,1,35,0.0398,0.02857142857142857,19.548902782509302,-0.020103430068291253,0.9999999999999984,1,35,0.0438,0.02857142857142857,20.46498473002118,-0.02604448559485675,1.0,1,35,0.0408,0.02857142857142857,19.78265907303667,-0.021635109740295467,1.0,2,35,0.042,0.05714285714285714,20.058913230780973,0.02642216923231413,0.6582215755438537,58.77245718795988,65.35039366073784
AE002098,2,28,0.2132,0.07142857142857142,40.95677721696374,-0.09692168841731634,0.06765030887022892,2,28,0.0579,0.07142857142857142,23.35542549387615,0.01621892952022314,0.6760666237754435,0,28,0.0563,0.0,23.050013015180706,-0.06839041691480978,0.4046736214558834,1,28,0.0467,0.03571428571428571,21.09955212794812,-0.014578508497939062,1.0,1,28,0.0559,0.03571428571428571,22.972851368517578,-0.024602953761959236,1.0,1,28,0.0526,0.03571428571428571,22.323359962156236,-0.021179607406838226,1.0,51.52783889876604,59.71123614190311
AE014299,8,131,0.2493,0.061068702290076333,43.26078015940073,-0.5699920322551477,2.41550971969558e-08,8,131,0.0746,0.061068702290076333,26.27448191687136,-0.06746469847086801,0.7382179563529682,6,131,0.0737,0.04580152671755725,26.12820506655595,-0.1398756627441664,0.31237808789592497,11,131,0.078,0.08396946564885496,26.817158686184488,0.029160434524439994,0.7443580508694521,10,131,0.0732,0.07633587786259542,26.046450813882494,0.015771822538717936,0.8661688639298806,11,131,0.0761,0.08396946564885496,26.515804720958403,0.03887869935869469,0.7403063575478471,45.960882617065316,45.78083558393288
